Year,Month,NO2_trop_mean,NO2_trop_std,Fecha_datetime,N_days
2018,7,0.00011848797759340439,4.056620901751799e-05,2018-07-01,11
2018,8,0.00012259132408110946,5.297847678016277e-05,2018-08-01,20
2018,9,9.326689622720577e-05,4.0381685455318995e-05,2018-09-01,24
2018,10,0.00010613603608705632,3.819938863577835e-05,2018-10-01,20
2018,11,8.542022827793209e-05,3.5274321800362834e-05,2018-11-01,20
2018,12,7.367261618562264e-05,2.9633417214167015e-05,2018-12-01,23
2019,1,6.172775361950312e-05,2.4825350855082028e-05,2019-01-01,21
2019,2,9.50147897216528e-05,4.151565411452481e-05,2019-02-01,24
2019,3,8.386121066893198e-05,3.250638959210184e-05,2019-03-01,26
2019,4,0.00012044829566648581,4.6686082218433186e-05,2019-04-01,22
2019,5,0.0001036609064438602,3.4267388939100974e-05,2019-05-01,21
2019,6,0.0001294461349287785,4.46184305377304e-05,2019-06-01,12
2019,7,0.0001580634221770584,5.9215175842411285e-05,2019-07-01,20
2019,8,0.00012818734180666436,4.711154528226136e-05,2019-08-01,24
2019,9,0.00012396060579435378,4.073543304473661e-05,2019-09-01,25
2019,10,8.194166132326512e-05,2.5156132798455732e-05,2019-10-01,18
2019,11,7.802649991895724e-05,3.1082637444190055e-05,2019-11-01,24
2019,12,8.511683701834747e-05,3.385648857959993e-05,2019-12-01,23
2020,1,7.184111020301569e-05,2.658557396149213e-05,2020-01-01,28
2020,2,7.784467517857937e-05,3.4911617447778736e-05,2020-02-01,26
2020,3,8.087652720953577e-05,2.9147518187218165e-05,2020-03-01,25
2020,4,5.643664704981568e-05,2.0691709198974594e-05,2020-04-01,24
2020,5,8.26223660662488e-05,3.1245119344314064e-05,2020-05-01,25
2020,6,0.00013022544363430194,3.4054374759696145e-05,2020-06-01,22
2020,7,0.00012754220332547909,3.548519749657106e-05,2020-07-01,25
2020,8,7.881795583266791e-05,3.107601985058952e-05,2020-08-01,22
2020,9,0.00010708862643882928,4.03125488319188e-05,2020-09-01,23
2020,10,9.325835707941559e-05,3.6979024342550016e-05,2020-10-01,25
2020,11,7.564575164420902e-05,3.3055615779933576e-05,2020-11-01,23
